fiscal_quarter,total_obligations
Q2 2021,38739740738.04
Q3 2021,36314948142.8
Q4 2025,22932614158.01
Q3 2020,21056442220.09
Q4 2021,19734214617.56
Q4 2024,19200420643.39
Q4 2022,18445988575.54
Q4 2023,18130920416.84
Q4 2020,16868092415.43
Q4 2018,16141517253.28
Q4 2019,15457763572.25
Q4 2017,14161334529.93
Q3 2023,10642444388.97
Q3 2022,10479606274.17
Q3 2024,10214465468.73
Q1 2022,9797676317.72
Q3 2019,9245943729.17
Q3 2018,8779492966.89
Q3 2017,8576210419.1
Q3 2025,7018974689.43
Q2 2023,6029913851.7
Q2 2020,5573400700.61
Q2 2019,5269471533.45
Q2 2024,5190278594.41
Q1 2025,5130439292.66
Q2 2022,5030772630.71
Q1 2019,4847976668.56
Q1 2024,4837615259.77
Q1 2021,4828262928.14
Q1 2023,4614404103.3
Q1 2020,4602701904.03
Q2 2017,4583563312.04
Q1 2017,4457190020
Q2 2018,4374099966.73
Q1 2018,4354950052.22
Q2 2026,4212545507.18
Q2 2025,3652323643.28
Q1 2026,3573263181.05
Q3 2026,1573113887.66
Q4 2026,0